cidade,data,precipitacao,temperatura,umidade,vento,ano,bairro
ALEGRETE,2014-04-10,0.0,18.666666666666668,78.29166666666667,,2014,ALEGRETE
ALEGRETE,2014-04-11,1.0,23.0,88.16666666666667,2.0,2014,ALEGRETE
ALEGRETE,2014-04-12,0.0,19.0,82.375,1.0,2014,ALEGRETE
ALEGRETE,2014-04-13,0.0,13.0,68.66666666666667,1.3333333333333333,2014,ALEGRETE
ALEGRETE,2014-04-14,0.0,9.0,79.58333333333333,1.0,2014,ALEGRETE
ALEGRETE,2014-04-15,0.0,,77.20833333333333,2.0,2014,ALEGRETE
ALEGRETE,2014-04-16,0.0,13.0,79.04166666666667,1.5,2014,ALEGRETE
ALEGRETE,2014-04-17,0.0,21.714285714285715,83.41666666666667,1.0,2014,ALEGRETE
ALEGRETE,2014-04-18,0.0,20.666666666666668,87.91666666666667,1.5,2014,ALEGRETE
ALEGRETE,2014-04-19,1.0,19.0,82.45833333333333,2.0,2014,ALEGRETE
ALEGRETE,2014-04-20,0.0,21.0,81.0,2.0,2014,ALEGRETE
ALEGRETE,2014-04-21,0.0,15.0,77.33333333333333,1.0,2014,ALEGRETE
ALEGRETE,2014-04-22,0.0,18.0,75.41666666666667,2.5,2014,ALEGRETE
ALEGRETE,2014-04-23,0.0,19.0,76.41666666666667,2.0,2014,ALEGRETE
ALEGRETE,2014-04-24,0.0,15.5,72.08333333333333,1.5,2014,ALEGRETE
ALEGRETE,2014-04-25,0.0,8.0,74.66666666666667,2.5,2014,ALEGRETE
ALEGRETE,2014-04-26,0.0,14.6,71.54166666666667,2.0,2014,ALEGRETE
ALEGRETE,2014-04-27,0.0,,73.83333333333333,4.0,2014,ALEGRETE
ALEGRETE,2014-04-28,1.0,16.0,85.54166666666667,2.0,2014,ALEGRETE
ALEGRETE,2014-04-29,0.0,15.0,83.70833333333333,1.0,2014,ALEGRETE
ALEGRETE,2014-04-30,1.0,18.0,94.04166666666667,1.0,2014,ALEGRETE
ALEGRETE,2014-05-01,0.0,15.666666666666666,87.20833333333333,2.0,2014,ALEGRETE
ALEGRETE,2014-05-02,0.0,14.5,82.83333333333333,1.0,2014,ALEGRETE
ALEGRETE,2014-05-03,0.0,15.25,84.20833333333333,1.2,2014,ALEGRETE
ALEGRETE,2014-05-04,41.0,19.0,93.875,1.8,2014,ALEGRETE
ALEGRETE,2014-05-05,0.0,17.0,86.04166666666667,,2014,ALEGRETE
ALEGRETE,2014-05-06,0.0,22.0,87.29166666666667,2.0,2014,ALEGRETE
ALEGRETE,2014-05-07,0.0,18.8,91.41666666666667,2.0,2014,ALEGRETE
ALEGRETE,2014-05-08,0.0,20.5,83.70833333333333,1.0,2014,ALEGRETE
ALEGRETE,2014-05-09,0.0,,83.125,,2014,ALEGRETE
ALEGRETE,2014-05-10,0.0,,81.66666666666667,2.25,2014,ALEGRETE
ALEGRETE,2014-05-11,0.0,15.0,74.54166666666667,4.0,2014,ALEGRETE
ALEGRETE,2014-05-12,0.0,19.2,81.83333333333333,1.0,2014,ALEGRETE
ALEGRETE,2014-05-13,0.0,18.333333333333332,82.95833333333333,,2014,ALEGRETE
ALEGRETE,2014-05-14,0.0,18.4,79.41666666666667,,2014,ALEGRETE
ALEGRETE,2014-05-15,2.0,17.0,86.33333333333333,2.0,2014,ALEGRETE
ALEGRETE,2014-05-16,0.0,17.0,85.375,,2014,ALEGRETE
ALEGRETE,2014-05-17,0.0,18.5,83.20833333333333,2.0,2014,ALEGRETE
ALEGRETE,2014-05-18,0.0,,76.54166666666667,2.3333333333333335,2014,ALEGRETE
ALEGRETE,2014-05-19,0.0,13.0,67.66666666666667,2.0,2014,ALEGRETE
ALEGRETE,2014-05-20,0.0,14.0,81.875,2.5,2014,ALEGRETE
ALEGRETE,2014-05-21,5.0,15.0,92.20833333333333,5.0,2014,ALEGRETE
ALEGRETE,2014-05-22,0.0,13.0,86.79166666666667,3.0,2014,ALEGRETE
ALEGRETE,2014-05-23,0.0,11.5,80.58333333333333,1.5,2014,ALEGRETE
ALEGRETE,2014-05-24,0.0,,81.33333333333333,1.25,2014,ALEGRETE
ALEGRETE,2014-05-25,0.0,7.333333333333333,87.70833333333333,2.0,2014,ALEGRETE
ALEGRETE,2014-05-26,0.0,13.666666666666666,75.04166666666667,1.3333333333333333,2014,ALEGRETE
ALEGRETE,2014-05-27,0.0,12.0,82.5,1.0,2014,ALEGRETE
ALEGRETE,2014-05-28,0.0,12.0,82.45833333333333,1.0,2014,ALEGRETE
ALEGRETE,2014-05-29,0.0,22.0,75.83333333333333,1.5,2014,ALEGRETE
ALEGRETE,2014-05-30,0.0,13.0,84.25,2.5,2014,ALEGRETE
ALEGRETE,2014-05-31,7.0,,95.70833333333333,2.0,2014,ALEGRETE
ALEGRETE,2014-06-01,0.0,15.666666666666666,78.45833333333333,1.5,2014,ALEGRETE
ALEGRETE,2014-06-02,0.0,15.5,75.41666666666667,1.0,2014,ALEGRETE
ALEGRETE,2014-06-03,0.0,12.0,74.54166666666667,,2014,ALEGRETE
ALEGRETE,2014-06-04,0.0,,80.91666666666667,2.0,2014,ALEGRETE
ALEGRETE,2014-06-05,0.0,15.0,93.66666666666667,2.0,2014,ALEGRETE
ALEGRETE,2014-06-06,0.0,,87.54166666666667,3.0,2014,ALEGRETE
