Unidade de Medida,valor,cod_municipio,ano,variavel,produto
Mil Reais,70865.0,4300034,2024,Valor da produção,Soja
Mil Reais,2785.0,4300034,2024,Valor da produção,Trigo
Hectares,50.0,4300059,2010,Área plantada,Fumo
Hectares,1800.0,4300059,2010,Área plantada,Milho
Hectares,12850.0,4300059,2010,Área plantada,Soja
Hectares,3200.0,4300059,2010,Área plantada,Trigo
Hectares,50.0,4300059,2010,Área colhida,Fumo
Hectares,1800.0,4300059,2010,Área colhida,Milho
Hectares,12850.0,4300059,2010,Área colhida,Soja
Hectares,3200.0,4300059,2010,Área colhida,Trigo
Toneladas,100.0,4300059,2010,Quantidade produzida,Fumo
Toneladas,16200.0,4300059,2010,Quantidade produzida,Milho
Toneladas,42405.0,4300059,2010,Quantidade produzida,Soja
Toneladas,11520.0,4300059,2010,Quantidade produzida,Trigo
Quilogramas por Hectare,2000.0,4300059,2010,Rendimento médio da produção,Fumo
Quilogramas por Hectare,9000.0,4300059,2010,Rendimento médio da produção,Milho
Quilogramas por Hectare,3300.0,4300059,2010,Rendimento médio da produção,Soja
Quilogramas por Hectare,3600.0,4300059,2010,Rendimento médio da produção,Trigo
Mil Reais,564.0,4300059,2010,Valor da produção,Fumo
Mil Reais,4017.0,4300059,2010,Valor da produção,Milho
Mil Reais,22757.0,4300059,2010,Valor da produção,Soja
Mil Reais,4734.0,4300059,2010,Valor da produção,Trigo
Hectares,30.0,4300059,2011,Área plantada,Fumo
Hectares,1450.0,4300059,2011,Área plantada,Milho
Hectares,13200.0,4300059,2011,Área plantada,Soja
Hectares,3200.0,4300059,2011,Área plantada,Trigo
Hectares,30.0,4300059,2011,Área colhida,Fumo
Hectares,1450.0,4300059,2011,Área colhida,Milho
Hectares,13200.0,4300059,2011,Área colhida,Soja
Hectares,3200.0,4300059,2011,Área colhida,Trigo
Toneladas,60.0,4300059,2011,Quantidade produzida,Fumo
Toneladas,13920.0,4300059,2011,Quantidade produzida,Milho
Toneladas,47520.0,4300059,2011,Quantidade produzida,Soja
Toneladas,9600.0,4300059,2011,Quantidade produzida,Trigo
Quilogramas por Hectare,2000.0,4300059,2011,Rendimento médio da produção,Fumo
Quilogramas por Hectare,9600.0,4300059,2011,Rendimento médio da produção,Milho
Quilogramas por Hectare,3600.0,4300059,2011,Rendimento médio da produção,Soja
Quilogramas por Hectare,3000.0,4300059,2011,Rendimento médio da produção,Trigo
Mil Reais,349.0,4300059,2011,Valor da produção,Fumo
Mil Reais,5564.0,4300059,2011,Valor da produção,Milho
Mil Reais,33666.0,4300059,2011,Valor da produção,Soja
Mil Reais,3768.0,4300059,2011,Valor da produção,Trigo
Hectares,40.0,4300059,2012,Área plantada,Fumo
Hectares,2800.0,4300059,2012,Área plantada,Milho
Hectares,11850.0,4300059,2012,Área plantada,Soja
Hectares,2500.0,4300059,2012,Área plantada,Trigo
Hectares,40.0,4300059,2012,Área colhida,Fumo
Hectares,2600.0,4300059,2012,Área colhida,Milho
Hectares,11850.0,4300059,2012,Área colhida,Soja
Hectares,2100.0,4300059,2012,Área colhida,Trigo
Toneladas,80.0,4300059,2012,Quantidade produzida,Fumo
Toneladas,8580.0,4300059,2012,Quantidade produzida,Milho
Toneladas,21330.0,4300059,2012,Quantidade produzida,Soja
Toneladas,3780.0,4300059,2012,Quantidade produzida,Trigo
Quilogramas por Hectare,2000.0,4300059,2012,Rendimento médio da produção,Fumo
Quilogramas por Hectare,3300.0,4300059,2012,Rendimento médio da produção,Milho
Quilogramas por Hectare,1800.0,4300059,2012,Rendimento médio da produção,Soja
Quilogramas por Hectare,1800.0,4300059,2012,Rendimento médio da produção,Trigo
Mil Reais,364.0,4300059,2012,Valor da produção,Fumo
Mil Reais,2542.0,4300059,2012,Valor da produção,Milho
Mil Reais,18059.0,4300059,2012,Valor da produção,Soja
Mil Reais,2079.0,4300059,2012,Valor da produção,Trigo
Hectares,35.0,4300059,2013,Área plantada,Fumo
Hectares,1900.0,4300059,2013,Área plantada,Milho
Hectares,12800.0,4300059,2013,Área plantada,Soja
Hectares,2500.0,4300059,2013,Área plantada,Trigo
Hectares,35.0,4300059,2013,Área colhida,Fumo
Hectares,1900.0,4300059,2013,Área colhida,Milho
Hectares,12800.0,4300059,2013,Área colhida,Soja
Hectares,2500.0,4300059,2013,Área colhida,Trigo
Toneladas,70.0,4300059,2013,Quantidade produzida,Fumo
Toneladas,13680.0,4300059,2013,Quantidade produzida,Milho
Toneladas,42240.0,4300059,2013,Quantidade produzida,Soja
Toneladas,11250.0,4300059,2013,Quantidade produzida,Trigo
Quilogramas por Hectare,2000.0,4300059,2013,Rendimento médio da produção,Fumo
Quilogramas por Hectare,7200.0,4300059,2013,Rendimento médio da produção,Milho
Quilogramas por Hectare,3300.0,4300059,2013,Rendimento médio da produção,Soja
Quilogramas por Hectare,4500.0,4300059,2013,Rendimento médio da produção,Trigo
Mil Reais,438.0,4300059,2013,Valor da produção,Fumo
Mil Reais,6183.0,4300059,2013,Valor da produção,Milho
Mil Reais,38058.0,4300059,2013,Valor da produção,Soja
Mil Reais,6750.0,4300059,2013,Valor da produção,Trigo
Hectares,21.0,4300059,2014,Área plantada,Fumo
Hectares,1900.0,4300059,2014,Área plantada,Milho
Hectares,12800.0,4300059,2014,Área plantada,Soja
Hectares,2700.0,4300059,2014,Área plantada,Trigo
Hectares,21.0,4300059,2014,Área colhida,Fumo
Hectares,1900.0,4300059,2014,Área colhida,Milho
Hectares,12800.0,4300059,2014,Área colhida,Soja
Hectares,2700.0,4300059,2014,Área colhida,Trigo
Toneladas,42.0,4300059,2014,Quantidade produzida,Fumo
Toneladas,11400.0,4300059,2014,Quantidade produzida,Milho
Toneladas,42240.0,4300059,2014,Quantidade produzida,Soja
Toneladas,7290.0,4300059,2014,Quantidade produzida,Trigo
Quilogramas por Hectare,2000.0,4300059,2014,Rendimento médio da produção,Fumo
Quilogramas por Hectare,6000.0,4300059,2014,Rendimento médio da produção,Milho
Quilogramas por Hectare,3300.0,4300059,2014,Rendimento médio da produção,Soja
Quilogramas por Hectare,2700.0,4300059,2014,Rendimento médio da produção,Trigo
Mil Reais,312.0,4300059,2014,Valor da produção,Fumo
Mil Reais,4674.0,4300059,2014,Valor da produção,Milho
Mil Reais,47022.0,4300059,2014,Valor da produção,Soja
Mil Reais,3353.0,4300059,2014,Valor da produção,Trigo
Hectares,13.0,4300059,2015,Área plantada,Fumo
Hectares,1700.0,4300059,2015,Área plantada,Milho
Hectares,13000.0,4300059,2015,Área plantada,Soja
Hectares,2100.0,4300059,2015,Área plantada,Trigo
Hectares,13.0,4300059,2015,Área colhida,Fumo
Hectares,1700.0,4300059,2015,Área colhida,Milho
Hectares,13000.0,4300059,2015,Área colhida,Soja
Hectares,2100.0,4300059,2015,Área colhida,Trigo
Toneladas,26.0,4300059,2015,Quantidade produzida,Fumo
Toneladas,19380.0,4300059,2015,Quantidade produzida,Milho
Toneladas,54600.0,4300059,2015,Quantidade produzida,Soja
Toneladas,1764.0,4300059,2015,Quantidade produzida,Trigo
Quilogramas por Hectare,2000.0,4300059,2015,Rendimento médio da produção,Fumo
Quilogramas por Hectare,11400.0,4300059,2015,Rendimento médio da produção,Milho
Quilogramas por Hectare,4200.0,4300059,2015,Rendimento médio da produção,Soja
Quilogramas por Hectare,840.0,4300059,2015,Rendimento médio da produção,Trigo
Mil Reais,185.0,4300059,2015,Valor da produção,Fumo
Mil Reais,7558.0,4300059,2015,Valor da produção,Milho
Mil Reais,54600.0,4300059,2015,Valor da produção,Soja
Mil Reais,723.0,4300059,2015,Valor da produção,Trigo
Hectares,7.0,4300059,2016,Área plantada,Fumo
